"order_item_id";"order_id";"product_id";"quantity";"unit_price";"revenue";"profit"
1;295;25;5;6351.92;31759.6;29986.85
2;40;48;2;8200.77;16401.54;10840.06
3;224;31;3;737.48;2212.44;1941.6
4;37;31;3;737.48;2212.44;1941.6
5;199;15;4;7797.73;31190.92;28494.56
6;89;53;5;8077.91;40389.55;16155.8
7;163;43;4;2804.46;11217.84;9041.6
8;293;26;1;518.5;518.5;-621.27
9;192;12;3;1110.76;3332.28;1332.9
11;290;44;3;5820.94;17462.82;16880.1
12;14;12;5;1110.76;5553.8;2221.5
13;241;11;5;6198.79;30993.95;10144.55
14;53;2;2;5667.1;11334.2;10391.42
15;101;27;4;4427.32;17709.28;7083.72
16;174;52;2;8506.63;17013.26;7296.54
17;40;9;5;5731.47;28657.35;25984.25
18;192;11;2;6198.79;12397.58;4057.82
19;94;10;5;6824.08;34120.4;17722.45
20;87;52;5;8506.63;42533.15;18241.35
21;151;47;4;8675.5;34702.0;13880.8
22;134;57;5;2232.14;11160.7;5420.35
23;132;46;5;6790.79;33953.95;16041.55
24;5;42;1;7566.71;7566.71;6581.55
25;255;15;1;7797.73;7797.73;7123.64
27;266;21;3;7066.48;21199.44;12451.17
29;254;58;2;273.06;546.12;-4732.18
30;119;33;3;2976.93;8930.79;7551.51
31;57;1;2;8293.85;16587.7;7344.2
32;128;31;5;737.48;3687.4;3236.0
33;101;17;4;907.93;3631.72;1452.68
34;285;13;2;1564.58;3129.16;1220.92
35;30;30;1;1843.18;1843.18;-1610.57
36;117;39;4;4106.48;16425.92;11763.08
37;267;54;3;4937.28;14811.84;3219.18
38;32;49;5;3272.0;16360.0;-4213.5
40;60;1;3;8293.85;24881.55;11016.3
41;149;49;2;3272.0;6544.0;-1685.4
42;125;35;4;398.85;1595.4;-10683.36
43;135;48;4;8200.77;32803.08;21680.12
45;93;49;4;3272.0;13088.0;-3370.8
46;62;33;2;2976.93;5953.86;5034.34
47;252;34;4;7235.77;28943.08;15599.84
48;140;18;3;4896.9;14690.7;9851.13
49;79;40;1;7668.95;7668.95;6827.54
50;14;33;1;2976.93;2976.93;2517.17
51;212;44;4;5820.94;23283.76;22506.8
52;291;43;1;2804.46;2804.46;2260.4
53;254;20;3;2509.02;7527.06;-3986.67
54;16;2;5;5667.1;28335.5;25978.55
55;172;23;10;1338.03;13380.3;7743.9
56;132;40;3;7668.95;23006.85;20482.62
57;251;43;5;2804.46;14022.3;11302.0
58;188;18;5;4896.9;24484.5;16418.55
59;270;4;2;5015.91;10031.82;578.5
60;263;10;3;6824.08;20472.24;10633.47
61;151;42;3;7566.71;22700.13;19744.65
62;51;22;2;1348.23;2696.46;-6446.48
63;4;9;5;5731.47;28657.35;25984.25
64;288;51;4;7531.68;30126.72;22019.08
65;25;33;4;2976.93;11907.72;10068.68
66;197;31;1;737.48;737.48;647.2
67;282;6;5;5350.91;26754.55;10701.8
68;3;2;5;5667.1;28335.5;25978.55
69;163;20;4;2509.02;10036.08;-5315.56
70;31;39;5;4106.48;20532.4;14703.85
72;164;36;3;6207.57;18622.71;13837.02
73;24;55;5;1113.17;5565.85;-1938.05
74;95;45;4;4783.74;19134.96;6951.96
75;155;42;2;7566.71;15133.42;13163.1
76;277;27;4;4427.32;17709.28;7083.72
77;200;54;3;4937.28;14811.84;3219.18
78;145;3;4;7822.55;31290.2;20787.16
79;194;2;1;5667.1;5667.1;5195.71
80;18;56;3;3625.32;10875.96;5451.21
82;164;43;5;2804.46;14022.3;11302.0
83;140;41;2;7247.62;14495.24;5470.74
84;95;3;3;7822.55;23467.65;15590.37
85;251;33;2;2976.93;5953.86;5034.34
86;299;38;1;6562.45;6562.45;3339.75
88;140;42;5;7566.71;37833.55;32907.75
90;145;58;3;273.06;819.18;-7098.27
91;295;52;2;8506.63;17013.26;7296.54
92;180;44;1;5820.94;5820.94;5626.7
93;216;59;5;8634.83;43174.15;41797.95
94;60;24;1;6583.93;6583.93;5102.92
95;159;40;1;7668.95;7668.95;6827.54
96;1;20;3;2509.02;7527.06;-3986.67
97;78;4;1;5015.91;5015.91;289.25
98;287;2;4;5667.1;22668.4;20782.84
99;171;10;1;6824.08;6824.08;3544.49
100;156;36;2;6207.57;12415.14;9224.68
101;134;3;4;7822.55;31290.2;20787.16
103;191;19;1;1301.4;1301.4;-399.67
104;292;46;1;6790.79;6790.79;3208.31
105;99;19;5;1301.4;6507.0;-1998.35
106;272;58;2;273.06;546.12;-4732.18
107;272;60;5;6234.43;31172.15;16799.3
108;189;43;3;2804.46;8413.38;6781.2
109;114;23;1;1338.03;1338.03;774.39
110;207;8;2;3690.52;7381.04;-249.2
111;36;4;5;5015.91;25079.55;1446.25
112;30;53;1;8077.91;8077.91;3231.16
113;171;10;2;6824.08;13648.16;7088.98
114;207;32;3;4200.75;12602.25;9893.55
115;60;60;2;6234.43;12468.86;6719.72
116;65;38;4;6562.45;26249.8;13359.0
117;77;32;2;4200.75;8401.5;6595.7
118;294;38;2;6562.45;13124.9;6679.5
119;126;12;1;1110.76;1110.76;444.3
120;153;36;4;6207.57;24830.28;18449.36
121;99;6;3;5350.91;16052.73;6421.08
122;114;4;4;5015.91;20063.64;1157.0
124;67;60;4;6234.43;24937.72;13439.44
125;252;49;4;3272.0;13088.0;-3370.8
126;99;16;2;5276.08;10552.16;5788.94
127;256;19;1;1301.4;1301.4;-399.67
128;99;16;5;5276.08;26380.4;14472.35
129;98;20;3;2509.02;7527.06;-3986.67
130;6;59;3;8634.83;25904.49;25078.77
131;288;45;2;4783.74;9567.48;3475.98
133;154;38;3;6562.45;19687.35;10019.25
134;100;2;2;5667.1;11334.2;10391.42
135;264;36;1;6207.57;6207.57;4612.34
136;33;18;4;4896.9;19587.6;13134.84
137;71;32;1;4200.75;4200.75;3297.85
138;274;10;3;6824.08;20472.24;10633.47
139;243;56;2;3625.32;7250.64;3634.14
140;213;41;5;7247.62;36238.1;13676.85
141;115;14;3;2550.57;7651.71;-2228.7
142;241;6;3;5350.91;16052.73;6421.08
143;99;37;3;828.06;2484.18;-7829.64
144;228;11;3;6198.79;18596.37;6086.73
145;167;39;1;4106.48;4106.48;2940.77
146;176;44;2;5820.94;11641.88;11253.4
147;229;28;4;3019.4;12077.6;146.92
148;259;46;1;6790.79;6790.79;3208.31
149;138;57;3;2232.14;6696.42;3252.21
150;296;19;2;1301.4;2602.8;-799.34
152;62;51;5;7531.68;37658.4;27523.85
153;74;59;3;8634.83;25904.49;25078.77
155;143;5;4;6685.99;26743.96;14890.48
156;193;36;3;6207.57;18622.71;13837.02
157;182;5;1;6685.99;6685.99;3722.62
158;120;11;4;6198.79;24795.16;8115.64
159;194;15;4;7797.73;31190.92;28494.56
160;248;32;3;4200.75;12602.25;9893.55
161;154;43;5;2804.46;14022.3;11302.0
162;282;28;5;3019.4;15097.0;183.65
163;167;4;5;5015.91;25079.55;1446.25
164;116;2;2;5667.1;11334.2;10391.42
165;259;25;2;6351.92;12703.84;11994.74
166;106;32;2;4200.75;8401.5;6595.7
167;190;27;2;4427.32;8854.64;3541.86
168;120;57;3;2232.14;6696.42;3252.21
169;29;17;1;907.93;907.93;363.17
170;155;23;3;1338.03;4014.09;2323.17
171;77;41;2;7247.62;14495.24;5470.74
172;184;27;3;4427.32;13281.96;5312.79
173;51;17;1;907.93;907.93;363.17
176;221;41;1;7247.62;7247.62;2735.37
178;108;7;4;485.27;1941.08;-4205.24
179;117;60;4;6234.43;24937.72;13439.44
180;28;1;1;8293.85;8293.85;3672.1
181;139;35;1;398.85;398.85;-2670.84
183;73;28;2;3019.4;6038.8;73.46
184;173;51;1;7531.68;7531.68;5504.77
185;206;36;2;6207.57;12415.14;9224.68
187;99;38;5;6562.45;32812.25;16698.75
188;11;18;3;4896.9;14690.7;9851.13
189;110;42;5;7566.71;37833.55;32907.75
190;285;32;4;4200.75;16803.0;13191.4
191;230;14;4;2550.57;10202.28;-2971.6
192;275;6;1;5350.91;5350.91;2140.36
193;275;26;3;518.5;1555.5;-1863.81
194;146;60;4;6234.43;24937.72;13439.44
195;36;14;4;2550.57;10202.28;-2971.6
196;183;30;4;1843.18;7372.72;-6442.28
198;285;23;2;1338.03;2676.06;1548.78
199;271;6;5;5350.91;26754.55;10701.8
200;194;36;4;6207.57;24830.28;18449.36
201;101;57;3;2232.14;6696.42;3252.21
202;190;42;10;7566.71;75667.1;65815.5
203;37;3;4;7822.55;31290.2;20787.16
204;104;43;4;2804.46;11217.84;9041.6
205;25;55;4;1113.17;4452.68;-1550.44
206;147;54;4;4937.28;19749.12;4292.24
207;178;26;4;518.5;2074.0;-2485.08
208;286;43;3;2804.46;8413.38;6781.2
209;112;47;3;8675.5;26026.5;10410.6
210;192;16;4;5276.08;21104.32;11577.88
212;220;39;5;4106.48;20532.4;14703.85
213;143;7;2;485.27;970.54;-2102.62
214;270;59;3;8634.83;25904.49;25078.77
215;239;15;5;7797.73;38988.65;35618.2
216;119;13;5;1564.58;7822.9;3052.3
218;97;38;3;6562.45;19687.35;10019.25
219;197;44;4;5820.94;23283.76;22506.8
220;284;16;1;5276.08;5276.08;2894.47
223;142;43;5;2804.46;14022.3;11302.0
224;30;29;3;3307.96;9923.88;-4847.85
225;199;10;4;6824.08;27296.32;14177.96
226;149;50;4;186.23;744.92;-17588.96
227;165;26;3;518.5;1555.5;-1863.81
228;117;60;3;6234.43;18703.29;10079.58
229;161;7;5;485.27;2426.35;-5256.55
230;87;51;1;7531.68;7531.68;5504.77
231;139;25;4;6351.92;25407.68;23989.48
232;98;53;4;8077.91;32311.64;12924.64
233;228;8;5;3690.52;18452.6;-623.0
234;175;25;1;6351.92;6351.92;5997.37
235;166;9;1;5731.47;5731.47;5196.85
236;75;18;2;4896.9;9793.8;6567.42
