"order_id";"customer_id";"order_date";"order_status"
1;60;"2023-12-03";"Pending"
2;30;"2024-06-14";"Delivered"
3;118;"2023-01-29";"Cancelled"
4;12;"2023-04-25";"Delivered"
5;105;"2023-08-09";"Shipped"
6;114;"2023-12-06";"Delivered"
7;103;"2023-09-21";"Cancelled"
8;97;"2024-05-24";"Delivered"
9;92;"2024-06-20";"Delivered"
10;48;"2024-09-10";"Delivered"
11;4;"2024-01-01";"Cancelled"
12;26;"2023-08-28";"Delivered"
13;44;"2024-06-29";"Cancelled"
14;96;"2024-09-10";"Delivered"
15;93;"2023-07-28";"Cancelled"
16;104;"2024-06-23";"Cancelled"
17;111;"2023-04-08";"Shipped"
18;27;"2024-07-15";"Shipped"
19;58;"2023-07-04";"Cancelled"
20;70;"2024-07-30";"Cancelled"
21;3;"2023-10-08";"Unknown"
22;115;"2023-01-21";"Pending"
23;98;"2023-05-29";"Cancelled"
24;78;"2023-06-14";"Pending"
25;106;"2023-08-29";"Shipped"
26;40;"2024-07-15";"Delivered"
27;96;"2024-03-12";"Cancelled"
28;103;"2024-01-01";"Delivered"
29;96;"2024-03-29";"Cancelled"
30;5;"2024-09-27";"Delivered"
31;54;"2023-05-07";"Cancelled"
32;47;"2023-09-20";"Shipped"
33;97;"2024-01-01";"Pending"
34;39;"2023-02-25";"Pending"
35;78;"2023-08-06";"Cancelled"
36;48;"2023-02-08";"Pending"
37;74;"2024-03-24";"Delivered"
38;17;"2023-11-23";"Pending"
39;41;"2023-01-08";"Delivered"
40;28;"2023-10-30";"Pending"
41;107;"2023-12-30";"Cancelled"
42;47;"2023-05-27";"Cancelled"
43;44;"2023-12-18";"Pending"
44;75;"2024-03-01";"Delivered"
45;26;"2023-07-15";"Delivered"
46;17;"2024-06-22";"Cancelled"
47;79;"2023-07-20";"Pending"
48;28;"2023-04-05";"Pending"
49;102;"2023-04-10";"Delivered"
50;53;"2023-09-15";"Cancelled"
51;109;"2024-01-12";"Cancelled"
52;81;"2024-05-08";"Cancelled"
53;26;"2024-01-01";"Delivered"
54;61;"2023-08-26";"Delivered"
55;85;"2023-04-16";"Shipped"
56;116;"2023-04-22";"Pending"
57;14;"2023-04-01";"Pending"
58;42;"2023-12-01";"Shipped"
59;117;"2024-04-01";"Cancelled"
