"payment_id";"order_id";"payment_method";"payment_status";"payment_date";"amount_paid"
1;1;"Credit card";"Failed";"2023-12-03";2687.36
2;2;"Credit card";"Unknown";"2024-06-14";7817.53
3;3;"Credit card";"Success";"2023-01-29";5875.85
4;4;"Debit card";"success";"2023-04-25";4593.95
5;5;"Upi";"Success";"2023-08-09";8120.73
6;6;"Upi";"success";"2023-12-06";4566.8
7;7;"Cash on delivery";"success";"2023-09-21";8296.36
8;8;"Upi";"Pending";"2024-05-24";0.0
9;9;"Upi";"Success";"2024-06-20";4673.84
10;10;"Credit card";"Pending";"2024-09-10";7241.5
11;12;"Cash on delivery";"Pending";"2023-08-28";4875.33
12;13;"Debit card";"Failed";"2024-06-29";1937.81
13;14;"Debit card";"success";"2024-09-10";640.42
14;15;"Cash on delivery";"Failed";"2023-07-28";1854.15
15;17;"Net banking";"Failed";"2023-04-08";3700.17
16;18;"Credit card";"Success";"2024-07-15";7074.47
17;19;"Credit card";"Failed";"2023-07-04";1540.93
18;20;"Debit card";"success";"2024-07-30";876.35
19;21;"Upi";"Pending";"2023-10-08";6394.59
20;22;"Upi";"Pending";"2023-01-21";4623.32
21;23;"Credit card";"Pending";"2023-05-29";5332.01
22;24;"Upi";"Success";"2023-06-14";6943.69
23;25;"Net banking";"Failed";"2023-08-29";7050.69
24;26;"Credit card";"success";"2024-07-15";6109.68
25;27;"Cash on delivery";"Pending";"2024-03-12";4475.03
26;28;"Cash on delivery";"Success";"2030-01-01";974.23
27;29;"Upi";"Pending";"2024-03-29";589.88
28;30;"Net banking";"Failed";"2024-09-27";5551.4
29;31;"Credit card";"Failed";"2023-05-07";1571.5
30;33;"Credit card";"Failed";"2019-01-01";0.0
31;34;"Upi";"Failed";"2023-02-25";8714.36
32;35;"Debit card";"Failed";"2023-08-06";2227.3
33;36;"Credit card";"Failed";"2023-02-08";2081.66
34;37;"Debit card";"Pending";"2024-03-24";8914.58
35;38;"Credit card";"Failed";"2023-11-23";6786.94
36;39;"Credit card";"Failed";"2023-01-08";600.17
37;40;"Credit card";"Failed";"2023-10-30";393.17
38;41;"Credit card";"Pending";"2023-12-30";0.0
39;42;"Cash on delivery";"Pending";"2023-05-27";0.0
40;43;"Cash on delivery";"Pending";"2023-12-18";2698.72
41;44;"Upi";"Failed";"2024-03-01";8145.01
42;45;"Upi";"Failed";"2023-07-15";1292.24
43;46;"Cash on delivery";"Success";"2024-06-22";219.65
44;47;"Credit card";"success";"2023-07-20";7271.99
45;48;"Credit card";"success";"2023-04-05";3328.69
46;49;"Net banking";"Pending";"2023-04-10";5989.12
47;52;"Credit card";"Pending";"2024-05-08";678.33
48;53;"Upi";"Failed";"2019-01-01";2156.58
49;54;"Upi";"success";"2023-08-26";2547.36
50;55;"Cash on delivery";"Success";"2023-04-16";790.92
51;56;"Upi";"Pending";"2023-04-22";8568.16
52;57;"Upi";"Failed";"2023-04-01";374.48
53;58;"Credit card";"Pending";"2023-12-01";5670.03
54;59;"Credit card";"success";"2024-04-01";2412.66
55;60;"Net banking";"Success";"2024-05-18";4697.93
56;61;"Upi";"Unknown";"2023-06-07";834.12
57;62;"Upi";"success";"2023-10-07";4161.34
58;63;"Upi";"Success";"2023-05-09";2205.32
59;64;"Debit card";"Pending";"2023-08-24";4761.69
60;65;"Cash on delivery";"Pending";"2024-05-29";4426.45
61;66;"Credit card";"Failed";"2019-01-01";368.52
62;67;"Debit card";"Pending";"2030-01-01";8130.01
63;69;"Upi";"Success";"2023-06-07";775.91
64;70;"Credit card";"Pending";"2024-04-01";6424.71
65;71;"Upi";"success";"2024-03-22";7950.16
66;72;"Net banking";"success";"2023-05-28";8524.78
67;73;"Upi";"Success";"2024-06-27";4993.74
68;74;"Net banking";"Success";"2023-01-03";2084.72
69;75;"Net banking";"Success";"2023-07-05";624.65
70;76;"Net banking";"Pending";"2024-05-08";1644.37
71;78;"Credit card";"Success";"2023-02-06";201.67
72;79;"Upi";"Failed";"2024-01-22";6332.35
73;80;"Net banking";"Failed";"2024-09-29";2455.56
74;81;"Debit card";"Success";"2024-04-20";1125.21
75;82;"Credit card";"Pending";"2024-09-01";905.47
76;83;"Credit card";"Pending";"2023-05-08";8234.59
77;84;"Credit card";"Pending";"2024-09-17";5042.81
78;85;"Upi";"success";"2023-06-16";3082.52
79;86;"Upi";"success";"2023-12-28";5861.87
80;87;"Credit card";"success";"2023-03-18";1662.21
81;88;"Upi";"Success";"2024-06-16";7514.92
82;89;"Credit card";"Unknown";"2023-06-18";249.92
83;90;"Cash on delivery";"success";"2024-05-28";7336.04
84;91;"Credit card";"Pending";"2023-11-12";727.71
85;92;"Credit card";"success";"2023-09-29";4445.18
