"product_id";"product_name";"category";"price";"cost_price"
1;"Sofa Cover";"Electronics";8293.85;4621.75
2;"Study Table";"Electronics";5667.1;471.39
3;"Cricket Bat";"Electronics";7822.55;2625.76
4;"Microwave Oven";"Electronics";5015.91;4726.66
5;"School Bag";"Toys";6685.99;2963.37
6;"Laptop Backpack";"Home & kitchen";5350.91;3210.55
7;"Basmati Rice 5kg";"Books";485.27;1536.58
8;"Notebook Set";"Clothing";3690.52;3815.12
9;"Sofa Cover";"Beauty";5731.47;534.62
10;"Microwave Oven";"Electronics";6824.08;3279.59
11;"LED Smart TV 43-inch";"Books";6198.79;4169.88
12;"Bluetooth Speaker";"Books";1110.76;666.46
13;"Smartphone 128GB";"Grocery";1564.58;954.12
14;"Basmati Rice 5kg";"Grocery";2550.57;3293.47
15;"Hair Dryer";"Toys";7797.73;674.09
16;"Sunglasses";"Beauty";5276.08;2381.61
17;"Sunglasses";"Beauty";907.93;544.76
18;"Sports Shoes";"Beauty";4896.9;1613.19
19;"Bluetooth Speaker";"Electronics";1301.4;1701.07
20;"Sunglasses";"Electronics";2509.02;3837.91
21;"Laptop Backpack";"Grocery";7066.48;2916.09
22;"Basmati Rice 5kg";"Grocery";1348.23;4571.47
23;"Men Cotton T-Shirt";"Grocery";1338.03;563.64
24;"Sunglasses";"Beauty";6583.93;1481.01
25;"Face Wash 100ml";"Grocery";6351.92;354.55
26;"Sunglasses";"Toys";518.5;1139.77
27;"Kids Building Blocks Set";"Beauty";4427.32;2656.39
28;"Smartphone 128GB";"Grocery";3019.4;2982.67
29;"Running Shoes";"Electronics";3307.96;4923.91
30;"Laptop Backpack";"Clothing";1843.18;3453.75
31;"Smartphone 128GB";"Electronics";737.48;90.28
32;"Office Chair";"Home & kitchen";4200.75;902.9
33;"Office Chair";"Electronics";2976.93;459.76
34;"Sofa Cover";"Beauty";7235.77;3335.81
35;"Smartphone 128GB";"Clothing";398.85;3069.69
36;"Running Shoes";"Electronics";6207.57;1595.23
37;"Hair Dryer";"Beauty";828.06;3437.94
38;"Wall Clock";"Electronics";6562.45;3222.7
39;"Wrist Watch";"Books";4106.48;1165.71
40;"Water Bottle 1L";"Clothing";7668.95;841.41
41;"Sports Shoes";"Home & kitchen";7247.62;4512.25
42;"Denim Jeans";"Sports";7566.71;985.16
43;"Office Chair";"Electronics";2804.46;544.06
44;"Denim Jeans";"Electronics";5820.94;194.24
45;"Running Shoes";"Sports";4783.74;3045.75
46;"Kids Building Blocks Set";"Beauty";6790.79;3582.48
47;"Water Bottle 1L";"Beauty";8675.5;5205.3
48;"Hair Dryer";"Home & kitchen";8200.77;2780.74
49;"Sports Shoes";"Clothing";3272.0;4114.7
50;"Ceiling Fan";"Clothing";186.23;4583.47
51;"Study Table";"Electronics";7531.68;2026.91
52;"Yoga Mat";"Electronics";8506.63;4858.36
53;"Hair Dryer";"Toys";8077.91;4846.75
54;"Ceiling Fan";"Books";4937.28;3864.22
55;"Sports Shoes";"Beauty";1113.17;1500.78
56;"Kids Building Blocks Set";"Home & kitchen";3625.32;1808.25
57;"Wall Clock";"Electronics";2232.14;1148.07
58;"Ceiling Fan";"Electronics";273.06;2639.15
59;"Laptop Backpack";"Beauty";8634.83;275.24
60;"Pressure Cooker";"Clothing";6234.43;2874.57
